Date,Open,High,Low,Volume,Close
2003-07-16,15250,15600,14750,1320377,14900
2003-07-18,15200,15200,14050,1289768,14250
2003-07-21,14400,14450,14000,887550,14250
2003-07-22,14300,14850,14050,1088630,14550
2003-07-23,14850,15000,14500,895110,15000
2003-07-24,15000,15600,14850,1196236,15500
2003-07-25,15350,15950,15000,1507644,15800
2003-07-28,16100,16150,14950,1535500,15450
2003-07-29,15400,16000,15100,1253417,16000
2003-07-30,15800,16000,15100,1168531,15100
2003-07-31,15100,15200,14550,1252013,14850
2003-08-01,14750,15250,14750,861523,15100
2003-08-04,14700,14850,14450,651875,14500
2003-08-05,14500,14800,14400,667632,14600
2003-08-06,14200,14550,14200,920672,14350
2003-08-07,14400,14900,14400,830409,14800
2003-08-08,14500,14850,14400,705501,14500
2003-08-11,14450,14900,14400,735220,14900
2003-08-12,14900,14900,14450,690410,14600
2003-08-13,14650,14800,14500,631410,14650
2003-08-14,14550,14900,14500,1641630,14900
2003-08-18,14650,15100,14550,1104514,14950
2003-08-19,15200,15500,15050,1550255,15450
2003-08-20,15450,15450,15150,1531230,15250
2003-08-21,15500,15850,15250,2039247,15800
2003-08-22,15900,15900,15300,1260914,15750
2003-08-25,15700,15950,15400,1045913,15700
2003-08-26,15550,15600,15200,1047220,15200
2003-08-27,15350,15500,15050,1004699,15300
2003-08-28,15200,15600,15200,887832,15350
2003-08-29,15550,16150,15150,1727410,16000
2003-09-01,15900,16500,15750,1326900,16500
2003-09-02,16600,16700,16300,1258297,16550
2003-09-03,16900,17150,16750,2522803,16950
2003-09-04,17050,17400,16850,1497149,17150
2003-09-05,17250,17350,16900,1641599,17200
2003-09-08,17150,17200,16900,975249,17000
2003-09-09,17300,18100,16850,1821966,17700
2003-09-15,17900,18200,17700,1018799,17850
2003-09-16,17950,18400,17950,1306438,18300
2003-09-17,18250,18300,17250,1443318,17700
2003-09-18,17450,17650,16900,1412104,17300
2003-09-19,17350,17500,16500,2037797,16850
2003-09-22,16400,17050,16400,1455063,16700
2003-09-23,16700,17550,16700,1391703,17250
2003-09-24,17300,17450,16900,1216069,17150
2003-09-25,17000,17100,16350,1070340,16550
2003-09-26,16200,16450,15700,908525,15750
2003-09-29,15600,15850,15200,840767,15750
2003-09-30,15750,16000,15350,841298,15600
2003-10-01,15200,15650,15000,928329,15650
2003-10-02,16100,16100,15600,1154760,15800
2003-10-06,16000,16200,15950,962236,16050
2003-10-07,16200,16750,16100,1130033,16550
2003-10-08,16800,16950,16550,955703,16800
2003-10-09,16800,17450,16600,998640,17450
2003-10-10,17550,18400,17100,1976631,18400
2003-10-13,18400,18600,17950,1115693,18150
2003-10-14,18300,18600,17450,960505,17700
2003-10-15,17950,18000,17450,729293,17700
2003-10-16,17600,17600,16700,3070781,16850
2003-10-17,16700,17150,16500,1343718,16500
2003-10-20,16550,17100,16550,871835,16850
2003-10-21,16750,17350,16750,1193681,17000
2003-10-22,17200,17200,16500,706052,16950
2003-10-23,16550,16800,16250,1407375,16400
2003-10-24,16400,16700,16300,602590,16650
2003-10-27,16750,17200,16750,589922,17200
2003-10-28,17300,17950,17150,1753492,17850
2003-10-29,18000,18700,17800,2361615,17850
2003-10-30,17900,18050,17600,942554,17700
2003-10-31,17800,17800,17000,1139749,17000
2003-11-03,17050,17400,16900,816784,17350
2003-11-04,17500,18050,17400,1875568,17750
2003-11-05,17550,18800,17500,1949820,18700
2003-11-06,19000,19250,18400,2055660,18550
2003-11-07,18600,19300,18600,1409140,19300
2003-11-10,18950,19000,18350,1886516,18800
2003-11-11,18550,18700,18250,1182333,18550
2003-11-12,18500,18900,18400,915465,18850
2003-11-13,19200,19700,19100,1914828,19700
2003-11-14,19300,19400,19000,1121890,19250
2003-11-17,18850,18950,18400,1159939,18400
2003-11-18,18200,18450,18000,1297265,18450
2003-11-19,17800,17800,17150,1741304,17200
2003-11-20,17200,17600,17050,1305636,17400
2003-11-21,17300,17450,16900,1123728,17000
2003-11-24,16550,16800,16150,983115,16200
2003-11-25,16400,17400,16400,1119350,16800
2003-11-26,16950,17850,16900,1010411,17850
2003-11-27,17850,17900,17150,750745,17400
2003-11-28,17200,17800,17150,1187100,17500
2003-12-01,17350,18150,17200,1013056,18000
2003-12-02,18200,18300,17250,957104,17300
2003-12-03,17250,17600,17200,885631,17350
2003-12-04,17550,18000,17300,1322974,17900
2003-12-05,17700,18050,17500,771314,17500
2003-12-08,17300,17800,17200,669747,17350
2003-12-09,17450,17650,17150,869768,17300
2003-12-10,17150,17950,17000,1560972,17650
2003-12-11,17850,18200,17500,2013978,17500
2003-12-12,18100,18350,17750,1446130,18000
2003-12-15,18400,18750,18250,1292863,18750
2003-12-16,18450,18500,17850,1363601,18150
2003-12-17,18250,18400,17700,816136,17750
2003-12-18,17650,17900,17350,1820553,17500
2003-12-19,17750,18050,17700,834280,17700
2003-12-22,17800,18250,17750,763031,18200
2003-12-23,18300,18550,18050,694821,18200
2003-12-24,18300,18500,17950,693651,18150
2003-12-26,18300,18350,18100,651292,18300
2003-12-29,17950,18550,17950,439965,18550
2003-12-30,18900,19150,18650,1031360,19050
2004-01-02,19150,19450,18800,734710,19200
2004-01-05,18750,19350,18600,1142131,19250
2004-01-06,19300,19350,18650,1012131,18700
2004-01-07,18750,19050,18650,724391,18650
2004-01-08,18650,18800,18000,1359640,18000
2004-01-09,18350,19000,18350,1217585,18450
2004-01-12,18600,19450,18400,1875064,19450
2004-01-13,19500,19500,19050,774892,19100
2004-01-14,19250,19500,19050,922648,19050
2004-01-15,19300,19500,19000,1207040,19400
2004-01-16,19500,19700,19150,973351,19400
2004-01-19,19600,19700,19250,835120,19600
2004-01-20,19800,20100,19650,1634693,20100
2004-01-26,20100,20100,19600,1525878,19650
2004-01-27,19650,19850,19350,1175701,19500
2004-01-28,19700,19950,19300,1029487,19700
2004-01-29,19900,19900,19350,487137,19700
2004-01-30,19800,19800,19350,643609,19450
2004-02-02,19700,19750,19300,457524,19400
2004-02-03,19400,19650,19300,975226,19300
2004-02-04,19350,19600,19300,602183,19300
2004-02-05,19300,19300,18800,1094184,18950
2004-02-06,18800,19400,18800,956350,19300
2004-02-09,19500,20650,19500,2159694,20500
2004-02-10,20200,20600,20200,1707359,20350
2004-02-11,20650,21150,20500,2153666,21000
2004-02-12,21200,22350,21150,2638278,21900
2004-02-13,21900,23300,21750,2596132,22900
2004-02-16,23200,23600,22650,1664781,22700
2004-02-17,22700,23050,22150,727648,23050
2004-02-18,22750,23000,22400,888481,22400
2004-02-19,22400,23300,22200,1001637,23000
2004-02-20,22900,22900,22450,1373052,22550
2004-02-23,22300,22500,21650,1344297,21850
2004-02-24,21450,22250,21350,1118453,21900
2004-02-25,21800,22200,21800,615470,22200
2004-02-26,22200,22400,21900,852580,21950
2004-02-27,21700,21700,20950,2374408,21650
2004-03-02,21950,22550,21450,2765782,21600
2004-03-03,21800,22700,21600,36345250,22700
2004-03-04,22550,22700,22400,2337640,22700
2004-03-05,22800,22900,22400,2524842,22500
2004-03-08,22200,22700,22150,1430198,22450
2004-03-09,22100,22250,21500,1748796,21800
2004-03-10,21700,22000,21000,1951545,21050
2004-03-11,21050,21450,21000,2118397,21100
2004-03-12,21000,21150,19850,2897688,20600
2004-03-15,20600,20750,20250,1588501,20750
2004-03-16,20400,20650,20050,1536709,20050
2004-03-17,20300,20950,20300,1122595,20900
2004-03-18,21000,21200,20850,1015780,21000
2004-03-19,21000,21550,20950,711217,21500
2004-03-22,21200,21450,20450,706605,20450
2004-03-23,20250,20750,20000,915580,20500
2004-03-24,20400,20900,20250,685612,20800
2004-03-25,20800,21000,20200,1115361,21000
2004-03-26,21150,21500,20900,872551,21300
2004-03-29,21300,21500,21150,801187,21200
2004-03-30,21350,21600,20600,923821,20750
2004-03-31,20850,21100,20350,990492,21100
2004-04-01,20950,21100,20600,579355,20750
2004-04-02,20850,21800,20800,1427930,21800
2004-04-06,21850,23000,21800,1924355,22750
2004-04-07,22900,23150,22450,977531,22750
2004-04-08,22950,22950,22400,703297,22750
2004-04-09,22450,22650,22250,638170,22500
2004-04-12,22600,23000,22500,782420,22750
2004-04-13,22900,22950,22100,1093889,22100
2004-04-14,22000,22700,21750,1003360,22200
2004-04-16,22200,22350,21800,1621721,22000
2004-04-19,22050,22050,21400,576900,21600
2004-04-20,21900,21950,21450,1171314,21900
2004-04-21,21750,23100,21650,1933350,22900
2004-04-22,23150,23350,22400,1352061,23000
2004-04-23,23300,23350,22800,993273,23250
2004-04-26,23250,23250,22500,592202,22550
2004-04-27,22500,22550,21950,753020,22200
2004-04-28,22300,22400,21150,1471013,21200
2004-04-29,20900,21500,20800,1210082,21000
2004-04-30,21000,21300,20300,1133416,20450
2004-05-03,20500,21450,20500,844138,21300
2004-05-04,21300,22050,21300,1053930,21550
2004-05-06,22200,22200,21100,1598270,21200
2004-05-07,21750,21750,20250,1342706,20900
2004-05-10,20800,20900,19350,696266,19600
2004-05-11,19550,20350,19300,1199289,19600
2004-05-12,19600,20300,19600,920134,20300
2004-05-13,20700,20700,19300,1326392,19350
2004-05-14,19450,19600,17850,2097238,17850
2004-05-17,17900,18150,16150,2508095,16200
2004-05-18,15900,16950,15900,3474049,16450
2004-05-19,16700,18000,16550,2200086,17800
2004-05-20,17050,18300,16950,1745285,17800
2004-05-21,18200,18250,17550,1135892,18100
2004-05-24,18450,18450,18000,2037962,18350
2004-05-25,18100,18150,17550,584500,17850
2004-05-27,18150,18250,17850,1084880,18150
2004-05-28,18350,18900,18300,1040201,18850
2004-05-31,18500,18900,17900,882600,18800
2004-06-01,18700,19000,18550,408435,18800
2004-06-02,18600,18800,18000,664245,18100
2004-06-03,18200,18300,16800,1089490,16800
2004-06-04,16800,17600,16750,1529541,17200
2004-06-07,17250,18200,17250,1166305,18200
2004-06-08,18400,18500,17800,990900,18000
2004-06-09,18000,18250,17250,1283690,17400
2004-06-10,17350,17550,16900,2121202,17000
